Group Link,Group Name,
https://www.facebook.com/groups/2587661704658290/,Indianapolis Off-Market Real Estate,x
https://www.facebook.com/groups/1550289731876897/,Indiana Investors Group,x
https://www.facebook.com/groups/indianapolisrealestatedeals/,Indianapolis Real Estate Deals,x
https://www.facebook.com/groups/2337035953227565/,Real Estate investing So. Indiana,x
https://www.facebook.com/groups/IndianapolisInvestmentProperties/,The Indianapolis Investment Property Group,x
https://www.facebook.com/groups/realestategrouponline/,Real Estate Investors Group,x
https://www.facebook.com/groups/122180541275179/,Fort Wayne Real Estate Investors,x
https://www.facebook.com/groups/club500.us/,"Real Estate Investing, Flipping and Wholesaling Group",x
https://www.facebook.com/groups/289807992071085/,Chicago Real Estate Investors,x
https://www.facebook.com/groups/62861620549/,THE Real Estate Investor Network,x
https://www.facebook.com/groups/cincinnatirei/,Greater Cincinnati Real Estate Investors,x
https://www.facebook.com/groups/realestateinvestingtipsforbeginners/,Real Estate Investing Tips For Beginners,x
https://www.facebook.com/groups/indianaoffmarketproperties/,Indiana Off-Market Properties,x
https://www.facebook.com/groups/socialrealestateinvestors/,Real Estate Investors,x
https://www.facebook.com/groups/chicagoreinetwork/,Chicago Real Estate Investment Network,x
https://www.facebook.com/groups/REIOhio/,Ohio Real Estate Investment Network,x
https://www.facebook.com/groups/2226094215/,Chicago Real Estate Investors,x
https://www.facebook.com/groups/1146886135664460/,Real Estate Investors Worldwide,x
https://www.facebook.com/groups/1918753961692019/,Illinois Real Estate Investors,x
https://www.facebook.com/groups/subject2/,Subject To & Creative Finance Real Estate and Investing,x
https://www.facebook.com/groups/cincinnati.ohio.real.estate.investing/,Real Estate Investors Cincinnati Ohio | RealEstateInvesting.com,x
https://www.facebook.com/groups/560625970765267/,Greater Cincinnati Real Estate Investors,x
https://www.facebook.com/groups/texasrealestateinvestingcommunity/,Texas Real Estate Investing Community,x
https://www.facebook.com/groups/CommercialRealEstateInvesting/,Commercial Real Estate Investing,x
https://www.facebook.com/groups/2032685963612857/,Off Market Real Estate Deals - Flippers & Investors,x
https://www.facebook.com/groups/realestateinvestingclub/,Real Estate Investing Club,x
https://www.facebook.com/groups/826206931072170/,Real Estate Investing,x
https://www.facebook.com/groups/631281814411577/,Tennessee Real Estate Investors & Realtors Network,x
https://www.facebook.com/groups/1632537890612667/,Real Estate Investing #DefyMatrix,x
https://www.facebook.com/groups/572803526877703/,Real Estate Investors,x
https://www.facebook.com/groups/572803526877703/,Real Estate Investing Is For Everyone!,x
https://www.facebook.com/groups/669499385340135/,Multi-Family Properties For Sale | Real Estate Investing,x
https://www.facebook.com/groups/sellerfinancerealestateinvesting/,Creative Finance Real Estate Investing Group,x
https://www.facebook.com/groups/milwaukee.wisconsin.real.estate.investing/,Real Estate Investors Milwaukee Wisconsin | RealEstateInvesting.com,x
https://www.facebook.com/groups/beginnerrealestateinvesting/,Passive Real Estate Investing For Beginners & Hands-Off Investors,x
https://www.facebook.com/groups/1599218463663477/,St. Louis Real Estate Investing.,x
https://www.facebook.com/groups/877895048955117/,Chicago Real Estate Investors,x
https://www.facebook.com/groups/littlerock.arkansas.real.estate.investing/,Real Estate Investors Little Rock Arkansas | RealEstateInvesting.com,x
https://www.facebook.com/groups/sub2empire/,Creative Real Estate Investing Mastery,x
https://www.facebook.com/groups/163209522373024/,Northeast Arkansas Real Estate Investing & Development,x
https://www.facebook.com/groups/detroit.michigan.real.estate.investing/,Real Estate Investors Detroit Michigan | RealEstateInvesting.com,x
https://www.facebook.com/groups/portland.oregon.real.estate.investing/,Real Estate Investors Portland Oregon | RealEstateInvesting.com,x
https://www.facebook.com/groups/280739402766486/,"Alabama Real Estate- Buying, Selling and Investing",x
https://www.facebook.com/groups/65967299951/,"Cleveland OH Real Estate: Investing, Buying, Selling, Lending, Connecting",x
https://www.facebook.com/groups/columbus.georgia.real.estate.investing/,Real Estate Investors Columbus Georgia | RealEstateInvesting.com,x
https://www.facebook.com/groups/twincitiesrealestateinvesting/,Twin Cities Real Estate Investing,x
https://www.facebook.com/groups/realestateinvestorgroupusa/,Real Estate Investor Group USA - Wholesaling -Off Market - FSBO,x
https://www.facebook.com/groups/realestateinvestinginusa/,REAL ESTATE INVESTING IN USA,x
https://www.facebook.com/groups/st.louis.missouri.real.estate.investing/,Real Estate Investors St. Louis Missouri | RealEstateInvesting.com,x
https://www.facebook.com/groups/2339744706249854/,Real Estate Investment Philippines,x
https://www.facebook.com/groups/chicago.illinois.real.estate.investing/,Real Estate Investors Chicago Illinois | RealEstateInvesting.com,x
https://www.facebook.com/groups/778831039400009/,Cleveland Real Estate Investing 2.0,x
https://www.facebook.com/groups/1085661219067431/,Cleveland Real Estate Investing and Rehab,x
https://www.facebook.com/groups/1785125195098814/,San Diego REI - Real Estate Investing,x
https://www.facebook.com/groups/326738981445019/,USA Real Estate Investors,x
https://www.facebook.com/groups/coloradorealestateinvesting/,Colorado Real Estate Investing,x
https://www.facebook.com/groups/1616360315273557/,The Wholesale Real Estate Investing Club,x
https://www.facebook.com/groups/worldwiderealestateinvestinggroup/,World Wide Real Estate Investment Club,x
https://www.facebook.com/groups/dmvrealestateinfo/,"DMV Real Estate: Buying Selling, and Investing in the Washington DC Area",x
